label,metaGroupId,groupId,goodPeakCount,medMz,medRt,maxQuality,isotopeLabel,compound,compoundId,formula,expectedRtDiff,ppmDiff,parent,pos-mix-01
,1,1,1,59.062012,10.461,0.724214,,59.062012@10.461134,59.062012@10.461134,,0.000,0.000000,59.062012,2712197.75
,2,2,1,104.106728,14.679,0.772485,,104.106728@14.679183,104.106728@14.679183,,0.000,0.000000,104.106728,292236160.00
,3,3,1,59.061996,10.461,0.704770,,59.061996@10.461134,59.061996@10.461134,,0.000,0.000000,59.061996,2492960.75
,4,4,1,104.110580,14.679,0.697916,,104.110580@14.679183,104.110580@14.679183,,0.000,0.000000,104.110580,3532385.25
,5,5,1,59.071239,10.251,0.643285,,59.071239@10.251316,59.071239@10.251316,,0.000,0.000000,59.071239,229930.92
,6,6,1,59.071243,9.856,0.522047,,59.071243@9.856350,59.071243@9.856350,,0.000,0.000000,59.071243,135182.30
,7,7,1,104.123047,14.693,0.824337,,104.123047@14.693000,104.123047@14.693000,,0.000,0.000000,104.123047,62142.62
,8,8,1,104.122406,14.821,0.626296,,104.122406@14.820734,104.122406@14.820734,,0.000,0.000000,104.122406,83805.66
,9,9,1,104.122589,15.203,0.662455,,104.122589@15.202883,104.122589@15.202883,,0.000,0.000000,104.122589,30178.74
,10,10,1,59.077229,10.366,0.844817,,59.077229@10.366366,59.077229@10.366366,,0.000,0.000000,59.077229,92043.62
,11,11,1,59.077629,8.960,0.832171,,59.077629@8.960450,59.077629@8.960450,,0.000,0.000000,59.077629,75425.07
,12,12,1,59.077492,9.555,0.810382,,59.077492@9.555483,59.077492@9.555483,,0.000,0.000000,59.077492,78952.90
,13,13,1,59.062012,10.461,0.724451,,59.062012@10.461134,59.062012@10.461134,,0.000,0.000000,59.062012,2633304.75
,14,14,1,59.062012,10.461,0.724634,,59.062012@10.461134,59.062012@10.461134,,0.000,0.000000,59.062012,2587538.75
,15,15,1,59.060181,13.565,0.659290,,59.060181@13.565351,59.060181@13.565351,,0.000,0.000000,59.060181,130344296.00
,16,16,1,104.106750,14.679,0.808159,,104.106750@14.679183,104.106750@14.679183,,0.000,0.000000,104.106750,300140800.00
,17,17,1,59.062012,10.461,0.724102,,59.062012@10.461134,59.062012@10.461134,,0.000,0.000000,59.062012,2936548.25
,18,18,1,59.072639,12.459,0.681289,,59.072639@12.459451,59.072639@12.459451,,0.000,0.000000,59.072639,537203.44
,19,19,1,102.127571,8.746,0.824319,,102.127571@8.746266,102.127571@8.746266,,0.000,0.000000,102.127571,117611800.00
,20,20,1,102.127556,8.746,0.827729,,102.127556@8.746266,102.127556@8.746266,,0.000,0.000000,102.127556,116158592.00
,21,21,1,59.062012,10.461,0.725187,,59.062012@10.461134,59.062012@10.461134,,0.000,0.000000,59.062012,2961296.75
,22,22,1,60.052132,16.668,0.801542,,60.052132@16.668499,60.052132@16.668499,,0.000,0.000000,60.052132,32055.17
,23,23,1,60.052433,18.924,0.722515,,60.052433@18.923500,60.052433@18.923500,,0.000,0.000000,60.052433,68850.23
,24,24,1,60.052372,19.957,0.515978,,60.052372@19.957167,60.052372@19.957167,,0.000,0.000000,60.052372,162928.14
,25,25,1,59.072540,12.459,0.675720,,59.072540@12.459451,59.072540@12.459451,,0.000,0.000000,59.072540,537031.00
